epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7153,0.57821,0.84754,1.4445,1,0.66064,0.78667,0.55613,0.914,2.29202,2.97636,0.0870195,1.95e-05,1.95e-05
2,112.108,0.60331,0.91828,1.44779,1,0.85091,0.995,0.77131,0.71628,1.71129,2.95923,0.0730402,4.01659e-05,4.01659e-05
3,173.408,0.50908,0.83745,1.41021,1,0.98849,0.995,0.87415,0.46734,0.8171,2.27466,0.0590605,6.04852e-05,6.04852e-05
4,218.461,0.47514,0.72997,1.23126,1,0.99389,0.995,0.8978,0.3067,0.61583,1.72871,0.0450805,8.04581e-05,8.04581e-05
5,268.535,0.49416,0.75632,1.33387,0.99003,1,0.995,0.95545,0.21408,0.44383,1.43529,0.0311001,0.000100084,0.000100084
6,334.409,0.4632,0.70855,1.34435,0.99271,1,0.995,0.96774,0.20692,0.37978,1.12946,0.0171194,0.000119364,0.000119364
7,396.82,0.42276,0.64422,1.26196,0.99278,1,0.995,0.96315,0.23504,0.35789,1.01352,0.0031383,0.000138298,0.000138298
8,443.427,0.43797,0.65505,1.26655,0.99274,1,0.995,0.96289,0.23572,0.36599,0.98625,0.000141337,0.000141337,0.000141337
9,491.709,0.43096,0.62724,1.29224,0.99254,1,0.995,0.96418,0.2304,0.37896,0.96062,0.0001401,0.0001401,0.0001401
10,532.327,0.43328,0.66474,1.15156,0.99231,1,0.995,0.96763,0.24253,0.37974,1.01026,0.000138862,0.000138862,0.000138862
11,595.811,0.41963,0.62302,1.33731,0.99248,1,0.995,0.96345,0.2058,0.36,0.94136,0.000137625,0.000137625,0.000137625
12,645.23,0.42589,0.6659,1.29351,0.99245,1,0.995,0.96744,0.20276,0.36187,0.94104,0.000136388,0.000136388,0.000136388
13,692.182,0.42509,0.65695,1.21272,0.9923,1,0.995,0.98176,0.18751,0.3468,0.92243,0.00013515,0.00013515,0.00013515
14,738.906,0.46068,0.69793,1.28928,0.9923,1,0.995,0.98176,0.18751,0.3468,0.92243,0.000133912,0.000133912,0.000133912
15,787.373,0.42587,0.58209,1.21857,0.99236,1,0.995,0.98376,0.17894,0.33587,0.91187,0.000132675,0.000132675,0.000132675
16,829.626,0.42219,0.56564,1.18467,0.99228,1,0.995,0.995,0.15219,0.32797,0.87338,0.000131437,0.000131437,0.000131437
17,891.187,0.43004,0.66095,1.26476,0.99234,1,0.995,0.995,0.138,0.32475,0.85109,0.0001302,0.0001302,0.0001302
18,945.765,0.44458,0.66305,1.31743,0.99257,1,0.995,0.995,0.14421,0.31988,0.84253,0.000128962,0.000128962,0.000128962
19,990.793,0.41775,0.57806,1.25416,0.99246,1,0.995,0.995,0.14748,0.3128,0.8439,0.000127725,0.000127725,0.000127725
20,1046.94,0.43563,0.59959,1.16652,0.99264,1,0.995,0.995,0.15403,0.30592,0.83746,0.000126488,0.000126488,0.000126488
21,1096.77,0.47188,0.66113,1.31883,0.99262,1,0.995,0.995,0.15218,0.29359,0.81768,0.00012525,0.00012525,0.00012525
22,1148.7,0.37385,0.55131,1.1506,0.99262,1,0.995,0.995,0.15218,0.29359,0.81768,0.000124012,0.000124012,0.000124012
23,1215.75,0.45901,0.63779,1.41101,0.99269,1,0.995,0.995,0.15258,0.28605,0.81283,0.000122775,0.000122775,0.000122775
24,1288.16,0.44032,0.63505,1.29851,0.99271,1,0.995,0.995,0.1563,0.28341,0.82249,0.000121537,0.000121537,0.000121537
25,1343.65,0.43903,0.58883,1.24492,0.99282,1,0.995,0.995,0.15621,0.2815,0.82809,0.0001203,0.0001203,0.0001203
26,1394.74,0.39962,0.52608,1.23413,0.99281,1,0.995,0.995,0.15679,0.27506,0.84345,0.000119062,0.000119062,0.000119062
27,1449.27,0.41383,0.55947,1.20693,0.99272,1,0.995,0.995,0.15657,0.28062,0.84764,0.000117825,0.000117825,0.000117825
28,1517.08,0.39391,0.58124,1.23675,0.99271,1,0.995,0.995,0.1558,0.28491,0.84123,0.000116587,0.000116587,0.000116587
29,1565.22,0.38765,0.5782,1.18675,0.99266,1,0.995,0.98292,0.15805,0.28904,0.84574,0.00011535,0.00011535,0.00011535
30,1628.21,0.42694,0.61631,1.24214,0.99266,1,0.995,0.98292,0.15805,0.28904,0.84574,0.000114112,0.000114112,0.000114112
31,1687.84,0.39151,0.56709,1.16899,0.99271,1,0.995,0.98345,0.15827,0.28364,0.84003,0.000112875,0.000112875,0.000112875
32,1750.63,0.39508,0.58666,1.18604,0.99278,1,0.995,0.995,0.15619,0.28205,0.83298,0.000111637,0.000111637,0.000111637
33,1816.01,0.39761,0.55107,1.23515,0.99286,1,0.995,0.995,0.15206,0.27669,0.82683,0.0001104,0.0001104,0.0001104
34,1872.58,0.38456,0.54146,1.18263,0.99273,1,0.995,0.995,0.15005,0.27404,0.82757,0.000109162,0.000109162,0.000109162
35,1931.78,0.41296,0.58964,1.18346,0.99278,1,0.995,0.995,0.14834,0.26926,0.82211,0.000107925,0.000107925,0.000107925
36,1999.24,0.4308,0.62408,1.26877,0.99291,1,0.995,0.995,0.14634,0.25725,0.81151,0.000106687,0.000106687,0.000106687
37,2065.1,0.34139,0.52304,1.11033,0.99288,1,0.995,0.995,0.14765,0.25477,0.81229,0.00010545,0.00010545,0.00010545
38,2120.16,0.38133,0.53915,1.13065,0.99288,1,0.995,0.995,0.14765,0.25477,0.81229,0.000104212,0.000104212,0.000104212
39,2186.38,0.37183,0.51568,1.23163,0.99284,1,0.995,0.995,0.14858,0.25033,0.81026,0.000102975,0.000102975,0.000102975
40,2262.82,0.38864,0.56406,1.23652,0.9929,1,0.995,0.995,0.14841,0.24651,0.80096,0.000101737,0.000101737,0.000101737
41,2326,0.3679,0.53606,1.21679,0.99298,1,0.995,0.995,0.14835,0.24369,0.79752,0.0001005,0.0001005,0.0001005
42,2386.39,0.4283,0.64314,1.26315,0.99299,1,0.995,0.995,0.1498,0.24593,0.80689,9.92625e-05,9.92625e-05,9.92625e-05
43,2447.96,0.37475,0.5135,1.16083,0.9928,1,0.995,0.995,0.15537,0.24843,0.81246,9.8025e-05,9.8025e-05,9.8025e-05
44,2492.01,0.37741,0.52461,1.1005,0.99276,1,0.995,0.995,0.16181,0.25215,0.82508,9.67875e-05,9.67875e-05,9.67875e-05
